paper,question_number,question_id,current_topic,proposed_primary_topic,proposed_secondary_topics,coverage_topics,status,rationale
31winter11,5,31winter11_q05,numerical_solution_of_equations,numerical_solution_of_equations,trigonometry,"numerical_solution_of_equations,trigonometry",add_secondary_topic,Numerical iteration is primary; the root equation is trigonometric and should count for trig coverage.
31winter11,6,31winter11_q06,logarithmic_and_exponential_functions,trigonometry,,trigonometry,relabel_primary,"R cos(x-alpha) form and trig equation solving are the assessed skills, not logarithmic/exponential functions."
31winter11,8,31winter11_q08,logarithmic_and_exponential_functions,integration,"algebra,logarithmic_and_exponential_functions","integration,algebra,logarithmic_and_exponential_functions",relabel_primary_add_secondary,Partial fractions support a definite integral whose exact value is logarithmic; integration is primary.
31winter11,9,31winter11_q09,logarithmic_and_exponential_functions,integration,"differentiation,logarithmic_and_exponential_functions","integration,differentiation,logarithmic_and_exponential_functions",relabel_primary_add_secondary,"The stationary point is found by differentiation, but the final area calculation by integration is the strongest topic."
31winter12,1,31winter12_q01,differentiation,algebra,,algebra,relabel_primary,This is a modulus inequality; no calculus is assessed.
31winter12,2,31winter12_q02,numerical_solution_of_equations,logarithmic_and_exponential_functions,,logarithmic_and_exponential_functions,relabel_primary,"This is an exponential equation solved with logarithms, not a numerical-methods question."
31winter12,5,31winter12_q05,differentiation,integration,"differentiation,trigonometry","integration,differentiation,trigonometry",relabel_primary_add_secondary,The question culminates in an exact trigonometric integral after derivative and identity work.
31winter12,7,31winter12_q07,logarithmic_and_exponential_functions,differentiation,logarithmic_and_exponential_functions,"differentiation,logarithmic_and_exponential_functions",relabel_primary_add_secondary,Implicit differentiation and vertical tangent analysis are primary; logarithms are the curve context.
31winter12,8,31winter12_q08,numerical_solution_of_equations,numerical_solution_of_equations,differentiation,"numerical_solution_of_equations,differentiation",add_secondary_topic,"Iteration is primary, with a derivative/stationary-point setup used before the numerical part."
31winter12,9,31winter12_q09,algebra,complex_numbers,algebra,"complex_numbers,algebra",relabel_primary_add_secondary,The polynomial work is in service of identifying complex roots; complex numbers are the dominant topic.
31winter13,3,31winter13_q03,logarithmic_and_exponential_functions,integration,logarithmic_and_exponential_functions,"integration,logarithmic_and_exponential_functions",relabel_primary_add_secondary,This is an integration-by-parts question with ln x as the integrand context.
31winter13,5,31winter13_q05,logarithmic_and_exponential_functions,trigonometry,integration,"trigonometry,integration",relabel_primary_add_secondary,"The identity is trigonometric primary content, with the follow-on exact integral adding integration coverage."
31winter13,6,31winter13_q06,numerical_solution_of_equations,numerical_solution_of_equations,trigonometry,"numerical_solution_of_equations,trigonometry",add_secondary_topic,"Iteration/root finding is primary, with circular-measure trigonometry used to form the equation."
31winter14,2,31winter14_q02,differentiation,exclude_current_syllabus,,,exclude_current_syllabus,Trapezium-rule numerical integration is no longer current-syllabus P3 content.
31winter14,5,31winter14_q05,differentiation,complex_numbers,,complex_numbers,relabel_primary,"The question is complex-number algebra and Argand-form manipulation, not parametric differentiation."
31winter14,6,31winter14_q06,numerical_solution_of_equations,numerical_solution_of_equations,"integration,logarithmic_and_exponential_functions","numerical_solution_of_equations,integration,logarithmic_and_exponential_functions",add_secondary_topic,"Iteration is primary, but the equation is derived from an exact integral involving logarithms."
31winter14,8,31winter14_q08,differentiation,trigonometry,,trigonometry,relabel_primary,The triple-angle identity and trigonometric substitution/cubic solution are the assessed topic.
31winter15,1,31winter15_q01,differentiation,algebra,,algebra,relabel_primary,This is a modulus inequality; no calculus is assessed.
31winter15,2,31winter15_q02,differentiation,logarithmic_and_exponential_functions,,logarithmic_and_exponential_functions,relabel_primary,This is an exponential equation solved by substitution and logarithms.
31winter15,5,31winter15_q05,differentiation,differentiation,trigonometry,"differentiation,trigonometry",add_secondary_topic,"Differentiation is primary, with trigonometric identities used to simplify and interpret the derivative."
31winter15,10,31winter15_q10,differentiation,integration,"differentiation,logarithmic_and_exponential_functions","integration,differentiation,logarithmic_and_exponential_functions",relabel_primary_add_secondary,"The maximum is found by differentiation, but the area equation is an integration task leading to logarithms."
31winter16,1,31winter16_q01,algebra,logarithmic_and_exponential_functions,,logarithmic_and_exponential_functions,relabel_primary,"This is an exponential equation solved using logarithms, not general algebra."
31winter16,5,31winter16_q05,logarithmic_and_exponential_functions,integration,trigonometry,"integration,trigonometry",relabel_primary_add_secondary,"The identity is trigonometric, but the final exact integral is the dominant assessed task."
31winter16,6,31winter16_q06,numerical_solution_of_equations,numerical_solution_of_equations,trigonometry,"numerical_solution_of_equations,trigonometry",add_secondary_topic,"Iteration is primary, with a cosecant equation as substantial trigonometric setup."
31winter16,7,31winter16_q07,differentiation,integration,"differentiation,logarithmic_and_exponential_functions","integration,differentiation,logarithmic_and_exponential_functions",relabel_primary_add_secondary,The area calculation by integrating an exponential curve is primary; the maximum point is differentiation coverage.
31winter16,10,31winter16_q10,logarithmic_and_exponential_functions,differential_equations,,differential_equations,relabel_primary,This is a logistic differential-equation model; logarithms appear only in solving it.
31winter17,4,31winter17_q04,differentiation,trigonometry,,trigonometry,relabel_primary,"The tangent addition identity and secant graph are trigonometry, not parametric differentiation."
31winter17,6,31winter17_q06,differentiation,differential_equations,,differential_equations,relabel_primary,The prompt asks to solve a differential equation; integration is routine method rather than separate coverage here.
31winter17,8,31winter17_q08,logarithmic_and_exponential_functions,integration,"algebra,logarithmic_and_exponential_functions","integration,algebra,logarithmic_and_exponential_functions",relabel_primary_add_secondary,Partial fractions support a definite integral whose result uses logarithms; integration is primary.
31winter17,9,31winter17_q09,differentiation,integration,"differentiation,logarithmic_and_exponential_functions","integration,differentiation,logarithmic_and_exponential_functions",relabel_primary_add_secondary,"The stationary-point work is differentiation, but the area calculation by integration is the stronger topic."
31winter17,10,31winter17_q10,trigonometry,vectors,,vectors,relabel_primary,"The question is about vector lines, skew/intersection, angle and plane; the trigonometry label is wrong."
31winter18,1,31winter18_q01,differentiation,algebra,,algebra,relabel_primary,This is a modulus inequality with a parameter; no calculus is assessed.
31winter18,2,31winter18_q02,algebra,logarithmic_and_exponential_functions,,logarithmic_and_exponential_functions,relabel_primary,"The question is an exponential equation solved with logarithms, not general algebra."
31winter18,5,31winter18_q05,logarithmic_and_exponential_functions,differential_equations,,differential_equations,relabel_primary,The curve is found by solving a differential equation; logs are solving method only.
31winter18,6,31winter18_q06,differentiation,trigonometry,,trigonometry,relabel_primary,The question is R sin(x-alpha) form and trigonometric equation solving.
31winter18,7,31winter18_q07,differentiation,integration,"differentiation,trigonometry","integration,differentiation,trigonometry",relabel_primary_add_secondary,"The region area by substitution is the strongest task, with maximum-point differentiation and trig coverage."
31winter18,9,31winter18_q09,algebra,integration,"algebra,logarithmic_and_exponential_functions","integration,algebra,logarithmic_and_exponential_functions",relabel_primary_add_secondary,Partial fractions support a definite integral; integration is primary and logarithms appear in the exact result.
31winter19,2,31winter19_q02,differentiation,algebra,,algebra,relabel_primary,This is a modulus inequality; no calculus is assessed.
31winter19,4,31winter19_q04,logarithmic_and_exponential_functions,differential_equations,,differential_equations,relabel_primary,The population model is explicitly solved as a differential equation.
