paper,question_number,question_id,current_topic,proposed_primary_topic,proposed_secondary_topics,coverage_topics,status,rationale
32winter14,2,32winter14_q02,differentiation,exclude_current_syllabus,,,exclude_current_syllabus,Trapezium-rule numerical integration is no longer current-syllabus P3 content.
32winter14,5,32winter14_q05,differentiation,complex_numbers,,complex_numbers,relabel_primary,"The question is complex-number algebra, not differentiation."
32winter14,6,32winter14_q06,numerical_solution_of_equations,integration,"numerical_solution_of_equations,logarithmic_and_exponential_functions","integration,numerical_solution_of_equations,logarithmic_and_exponential_functions",relabel_primary_add_secondary,"The integral equation is the dominant setup, with iteration and logarithms also assessed."
32winter14,8,32winter14_q08,differentiation,trigonometry,,trigonometry,relabel_primary,The triple-angle identity and trigonometric substitution/cubic solution are the assessed topic.
32winter15,1,32winter15_q01,differentiation,algebra,,algebra,relabel_primary,This is a modulus inequality; no calculus is assessed.
32winter15,2,32winter15_q02,differentiation,logarithmic_and_exponential_functions,,logarithmic_and_exponential_functions,relabel_primary,This is an exponential equation solved by substitution and logarithms.
32winter15,5,32winter15_q05,differentiation,differentiation,trigonometry,"differentiation,trigonometry",add_secondary_topic,"Differentiation is primary, with a tangent identity used to complete the square and locate the least gradient."
32winter15,8,32winter15_q08,differential_equations,differential_equations,trigonometry,"differential_equations,trigonometry",add_secondary_topic,"The differential equation is primary, with a sine-squared trigonometric integral central to the solution."
32winter15,10,32winter15_q10,differentiation,integration,"differentiation,logarithmic_and_exponential_functions","integration,differentiation,logarithmic_and_exponential_functions",relabel_primary_add_secondary,"The area equation is integration primary, after a maximum-point differentiation setup and logarithmic antiderivative."
32winter16,1,32winter16_q01,algebra,logarithmic_and_exponential_functions,,logarithmic_and_exponential_functions,relabel_primary,"This is an exponential equation solved using logarithms, not general algebra."
32winter16,5,32winter16_q05,logarithmic_and_exponential_functions,integration,"logarithmic_and_exponential_functions,trigonometry","integration,logarithmic_and_exponential_functions,trigonometry",relabel_primary_add_secondary,"The exact integral is primary, with a trigonometric identity and logarithmic answer."
32winter16,6,32winter16_q06,numerical_solution_of_equations,numerical_solution_of_equations,trigonometry,"numerical_solution_of_equations,trigonometry",add_secondary_topic,"Iteration is primary, with a cosecant equation as substantial trigonometric context."
32winter16,7,32winter16_q07,differentiation,integration,"differentiation,logarithmic_and_exponential_functions","integration,differentiation,logarithmic_and_exponential_functions",relabel_primary_add_secondary,"The area by integration is primary, after differentiating an exponential curve to find the maximum."
32winter16,10,32winter16_q10,logarithmic_and_exponential_functions,differential_equations,,differential_equations,relabel_primary,The logistic disease model is a differential equation; logarithms appear in the solution method.
32winter17,1,32winter17_q01,differentiation,exclude_current_syllabus,,,exclude_current_syllabus,Trapezium-rule numerical integration is no longer current-syllabus P3 content.
32winter17,4,32winter17_q04,differentiation,differentiation,trigonometry,"differentiation,trigonometry",add_secondary_topic,"Stationary-point differentiation is primary, with secant/tangent trigonometric structure throughout."
32winter17,5,32winter17_q05,differentiation,differential_equations,,differential_equations,relabel_primary,The prompt asks to solve a differential equation; the current differentiation label is too narrow.
32winter17,9,32winter17_q09,numerical_solution_of_equations,numerical_solution_of_equations,"integration,logarithmic_and_exponential_functions","numerical_solution_of_equations,integration,logarithmic_and_exponential_functions",add_secondary_topic,"Iteration is the endpoint, while the fixed-point equation is derived from an integration-by-parts result involving ln x."
32winter18,1,32winter18_q01,differentiation,algebra,,algebra,relabel_primary,This is a modulus inequality; no calculus is assessed.
32winter18,3,32winter18_q03,logarithmic_and_exponential_functions,integration,logarithmic_and_exponential_functions,"integration,logarithmic_and_exponential_functions",relabel_primary_add_secondary,This is an integration-by-parts question with ln x as the integrand context.
32winter18,5,32winter18_q05,numerical_solution_of_equations,numerical_solution_of_equations,"differentiation,logarithmic_and_exponential_functions","numerical_solution_of_equations,differentiation,logarithmic_and_exponential_functions",add_secondary_topic,"Iteration is primary, with a derivative condition on an x ln(8-x) curve used to form the equation."
32winter18,6,32winter18_q06,differentiation,differential_equations,,differential_equations,relabel_primary,The prompt explicitly asks to set up and solve a differential equation.
32winter18,7,32winter18_q07,differentiation,differentiation,"integration,trigonometry","differentiation,integration,trigonometry",add_secondary_topic,"Stationary-point differentiation is primary, with a follow-on integral and trig context also assessed."
32winter19,6,32winter19_q06,algebra,differential_equations,trigonometry,"differential_equations,trigonometry",relabel_primary_add_secondary,"The problem is a differential equation in trigonometric variables, not algebra."
32winter19,8,32winter19_q08,algebra,integration,"algebra,logarithmic_and_exponential_functions","integration,algebra,logarithmic_and_exponential_functions",relabel_primary_add_secondary,Partial fractions support a definite integral whose exact answer is logarithmic.
32winter19,9,32winter19_q09,numerical_solution_of_equations,numerical_solution_of_equations,"integration,trigonometry","numerical_solution_of_equations,integration,trigonometry",add_secondary_topic,"Iteration is primary, with the fixed-point equation derived from a trigonometric integration-by-parts result."
32winter20,5,32winter20_q05,differentiation,differentiation,trigonometry,"differentiation,trigonometry",add_secondary_topic,"Parametric differentiation is primary, with trigonometric functions throughout the gradient expression."
32winter20,7,32winter20_q07,differentiation,differential_equations,,differential_equations,relabel_primary,The prompt asks to solve a differential equation; differentiation is not the dominant topic.
32winter20,9,32winter20_q09,algebra,integration,"algebra,logarithmic_and_exponential_functions","integration,algebra,logarithmic_and_exponential_functions",relabel_primary_add_secondary,Partial fractions support an exact definite integral with logarithmic terms.
32winter20,10,32winter20_q10,numerical_solution_of_equations,numerical_solution_of_equations,"differentiation,integration,trigonometry","numerical_solution_of_equations,differentiation,integration,trigonometry",add_secondary_topic,"Iteration is primary, but the question also includes a derivative condition and a volume integral for a trigonometric curve."
32winter21,3,32winter21_q03,algebra,complex_numbers,algebra,"complex_numbers,algebra",relabel_primary_add_secondary,Complex conjugate algebra and solving a complex equation dominate; algebra is supporting work.
32winter21,6,32winter21_q06,trigonometry,trigonometry,integration,"trigonometry,integration",add_secondary_topic,"The trigonometric identity is primary, with the follow-on exact integral adding integration coverage."
