paper,question_number,question_id,current_topic,proposed_primary_topic,proposed_secondary_topics,coverage_topics,status,rationale
33summer15,4,33summer15_q04,differentiation,differentiation,logarithmic_and_exponential_functions,"differentiation,logarithmic_and_exponential_functions",add_secondary_topic,"Stationary-point differentiation is primary, with exponential/logarithmic curve context also assessed."
33summer15,6,33summer15_q06,numerical_solution_of_equations,numerical_solution_of_equations,"integration,trigonometry","numerical_solution_of_equations,integration,trigonometry",add_secondary_topic,"Iteration is primary, with the fixed-point equation derived from a trigonometric integral."
33summer15,10,33summer15_q10,algebra,integration,"algebra,logarithmic_and_exponential_functions","integration,algebra,logarithmic_and_exponential_functions",relabel_primary_add_secondary,"The exact integral is primary, with partial fractions and logarithmic exact form as substantial supporting work."
33summer16,1,33summer16_q01,differentiation,algebra,,algebra,relabel_primary,This is a modulus inequality; no calculus is assessed.
33summer16,3,33summer16_q03,logarithmic_and_exponential_functions,trigonometry,,trigonometry,relabel_primary,R cos form and trigonometric equation solving are the assessed topic.
33summer16,4,33summer16_q04,differentiation,differentiation,logarithmic_and_exponential_functions,"differentiation,logarithmic_and_exponential_functions",add_secondary_topic,"Parametric differentiation is primary, with logarithmic functions defining the curve."
33summer16,5,33summer16_q05,differentiation,differential_equations,trigonometry,"differential_equations,trigonometry",relabel_primary_add_secondary,The prompt asks to solve a differential equation involving tangent functions; trigonometric manipulation is substantial.
33summer16,6,33summer16_q06,numerical_solution_of_equations,numerical_solution_of_equations,"differentiation,trigonometry","numerical_solution_of_equations,differentiation,trigonometry",add_secondary_topic,"Iteration is primary, after stationary-point differentiation and trigonometric equation work form the root equation."
33summer16,7,33summer16_q07,integration,integration,logarithmic_and_exponential_functions,"integration,logarithmic_and_exponential_functions",add_secondary_topic,"The exact integral is primary, with logarithmic form in the evaluated answer."
33summer17,3,33summer17_q03,differentiation,logarithmic_and_exponential_functions,,logarithmic_and_exponential_functions,relabel_primary,"This is an exponential equation solved using logarithms, not differentiation."
33summer17,5,33summer17_q05,logarithmic_and_exponential_functions,differentiation,"logarithmic_and_exponential_functions,trigonometry","differentiation,logarithmic_and_exponential_functions,trigonometry",relabel_primary_add_secondary,Differentiating the logarithmic/trigonometric curve is the assessed task.
33summer17,6,33summer17_q06,numerical_solution_of_equations,numerical_solution_of_equations,trigonometry,"numerical_solution_of_equations,trigonometry",add_secondary_topic,"Iteration is primary, with a cotangent equation as substantial trigonometric context."
33summer17,8,33summer17_q08,differentiation,differential_equations,,differential_equations,relabel_primary,The prompt asks to solve a differential equation; ordinary differentiation is not the dominant topic.
33summer17,9,33summer17_q09,algebra,integration,"algebra,logarithmic_and_exponential_functions","integration,algebra,logarithmic_and_exponential_functions",relabel_primary_add_secondary,Partial fractions support an exact integral whose result is logarithmic; integration is primary.
33summer18,2,33summer18_q02,differentiation,logarithmic_and_exponential_functions,,logarithmic_and_exponential_functions,relabel_primary,"This is an exponential equation solved using logarithms, not ordinary differentiation."
33summer18,4,33summer18_q04,logarithmic_and_exponential_functions,numerical_solution_of_equations,"differentiation,logarithmic_and_exponential_functions","numerical_solution_of_equations,differentiation,logarithmic_and_exponential_functions",relabel_primary_add_secondary,"Iteration/root finding is primary, with a derivative condition on a logarithmic/exponential curve used to form the equation."
33summer18,5,33summer18_q05,differentiation,trigonometry,,trigonometry,relabel_primary,"The trigonometric identity and equation solving are the assessed topic, not differentiation."
33summer18,6,33summer18_q06,algebra,differential_equations,"algebra,logarithmic_and_exponential_functions","differential_equations,algebra,logarithmic_and_exponential_functions",relabel_primary_add_secondary,The problem is a differential equation solved using partial fractions and logarithms.
33summer18,7,33summer18_q07,trigonometry,trigonometry,integration,"trigonometry,integration",add_secondary_topic,"R-form trigonometry is primary, with a follow-on exact integral also assessed."
33summer18,8,33summer18_q08,logarithmic_and_exponential_functions,differentiation,,differentiation,relabel_primary,Implicit differentiation is the assessed task; logarithms define the curve.
33summer19,3,33summer19_q03,logarithmic_and_exponential_functions,integration,"logarithmic_and_exponential_functions,trigonometry","integration,logarithmic_and_exponential_functions,trigonometry",relabel_primary_add_secondary,"The exact integral is primary, with a trigonometric identity and logarithmic exact form also assessed."
