paper,question_number,question_id,current_topic,proposed_primary_topic,proposed_secondary_topics,coverage_topics,status,rationale
31summer12,1,31summer12_q01,algebra,logarithmic_and_exponential_functions,,logarithmic_and_exponential_functions,relabel_primary,Exponential equation solved from an absolute-value setup; the assessed current P3 skill is logarithmic/exponential solving rather than general algebra.
31summer12,5,31summer12_q05,differentiation,integration,"differentiation,trigonometry","integration,differentiation,trigonometry",relabel_primary_add_secondary,The larger part asks for an exact area by integrating trigonometric functions after a stationary-point setup.
31summer12,6,31summer12_q06,logarithmic_and_exponential_functions,differentiation,,differentiation,relabel_primary,Implicit differentiation and gradient analysis are the assessed skills; no logarithmic/exponential content is present.
31summer12,9,31summer12_q09,logarithmic_and_exponential_functions,integration,algebra,"integration,algebra",relabel_primary_add_secondary,"Partial fractions support a definite integral evaluation, so integration is primary and algebra is secondary."
31summer12,10,31summer12_q10,numerical_solution_of_equations,numerical_solution_of_equations,trigonometry,"numerical_solution_of_equations,trigonometry",add_secondary_topic,"Iteration/root finding is primary, with a trigonometric equation and final trigonometric solutions as substantial coverage."
31summer13,8,31summer13_q08,logarithmic_and_exponential_functions,integration,"logarithmic_and_exponential_functions,trigonometry","integration,logarithmic_and_exponential_functions,trigonometry",relabel_primary_add_secondary,Both parts are exact integration tasks; ln x and a trigonometric substitution are secondary contexts.
31summer13,9,31summer13_q09,logarithmic_and_exponential_functions,trigonometry,integration,"trigonometry,integration",relabel_primary_add_secondary,"The main task is R cos(theta-alpha) and solving a trigonometric equation, with a final exact trigonometric integral."
31summer13,10,31summer13_q10,numerical_solution_of_equations,differential_equations,numerical_solution_of_equations,"differential_equations,numerical_solution_of_equations",relabel_primary_add_secondary,The model is set up and solved as a differential equation; the iteration for k is secondary numerical coverage.
31summer15,2,31summer15_q02,algebra,exclude_current_syllabus,,,exclude_current_syllabus,Trapezium-rule numerical integration is no longer current-syllabus P3 content.
31summer15,3,31summer15_q03,logarithmic_and_exponential_functions,algebra,,algebra,relabel_primary,"This is a binomial-expansion/small-x algebra question, not a logarithmic/exponential question."
31summer15,4,31summer15_q04,differentiation,differentiation,trigonometry,"differentiation,trigonometry",add_secondary_topic,"Stationary points are found by differentiation, with trigonometric identities needed to solve the condition."
31summer15,5,31summer15_q05,integration,integration,trigonometry,"integration,trigonometry",add_secondary_topic,The question is integration of trigonometric expressions; trigonometry is substantial secondary coverage.
31summer15,9,31summer15_q09,differentiation,integration,differentiation,"integration,differentiation",relabel_primary_add_secondary,"Part (i) is a maximum by differentiation, but the larger task is an exact integral by parts."
31summer15,10,31summer15_q10,numerical_solution_of_equations,numerical_solution_of_equations,differentiation,"numerical_solution_of_equations,differentiation",add_secondary_topic,"The iterative solution is primary, while the gradient setup gives meaningful differentiation coverage."
31summer16,1,31summer16_q01,algebra,algebra,logarithmic_and_exponential_functions,"algebra,logarithmic_and_exponential_functions",add_secondary_topic,"The modulus equation is algebraic primary content, with an exponential/logarithmic follow-on part."
31summer16,2,31summer16_q02,differentiation,integration,,integration,relabel_primary,This is an exact integration-by-parts question.
31summer16,4,31summer16_q04,logarithmic_and_exponential_functions,differential_equations,,differential_equations,relabel_primary,The prompt asks to solve a differential equation; logarithms are only part of the solving method.
31summer16,5,31summer16_q05,differentiation,differentiation,trigonometry,"differentiation,trigonometry",add_secondary_topic,"Stationary-point differentiation is primary, with trigonometric identities used to solve the condition."
31summer17,1,31summer17_q01,differentiation,algebra,,algebra,relabel_primary,This is a modulus inequality; no calculus is assessed.
31summer17,3,31summer17_q03,logarithmic_and_exponential_functions,logarithmic_and_exponential_functions,integration,"logarithmic_and_exponential_functions,integration",add_secondary_topic,"Logarithmic/exponential rearrangement is primary, with a definite integral also assessed."
31summer17,5,31summer17_q05,numerical_solution_of_equations,numerical_solution_of_equations,trigonometry,"numerical_solution_of_equations,trigonometry",add_secondary_topic,"Iteration is primary, with circular-measure/trigonometric setup as secondary coverage."
31summer17,8,31summer17_q08,logarithmic_and_exponential_functions,trigonometry,,trigonometry,relabel_primary,R sin(x-alpha) form and trigonometric equation solving are the assessed skills.
31summer17,9,31summer17_q09,algebra,differential_equations,algebra,"differential_equations,algebra",relabel_primary_add_secondary,Partial fractions support solving the differential equation; DE is the main task.
31summer17,10,31summer17_q10,integration,integration,"differentiation,trigonometry","integration,differentiation,trigonometry",add_secondary_topic,"The exact area integral is primary, with maximum-point differentiation and trigonometric manipulation also assessed."
31summer18,3,31summer18_q03,differentiation,differentiation,trigonometry,"differentiation,trigonometry",add_secondary_topic,"Stationary points are found by differentiation, with trigonometric equations used to obtain the coordinates."
31summer18,5,31summer18_q05,differentiation,integration,trigonometry,"integration,trigonometry",relabel_primary_add_secondary,The question is an exact integral by trigonometric substitution.
31summer18,6,31summer18_q06,differentiation,differential_equations,,differential_equations,relabel_primary,The chemical-reaction model is solved as a differential equation.
31summer18,8,31summer18_q08,numerical_solution_of_equations,numerical_solution_of_equations,integration,"numerical_solution_of_equations,integration",add_secondary_topic,"The iteration is primary, but the equation is derived from a 5-mark integration-by-parts calculation."
31summer19,1,31summer19_q01,integration,exclude_current_syllabus,,,exclude_current_syllabus,Trapezium-rule numerical integration is no longer current-syllabus P3 content.
31summer19,3,31summer19_q03,logarithmic_and_exponential_functions,differentiation,,differentiation,relabel_primary,The question asks for the gradient of an implicit curve.
31summer19,5,31summer19_q05,differentiation,differential_equations,differentiation,"differential_equations,differentiation",relabel_primary_add_secondary,The main part solves a differential equation; the opening derivative of a trigonometric expression gives secondary differentiation coverage.
