question_id,paper,paper_code,question_number,current_topic,primary_topic,secondary_topics,coverage_topics,status,current_syllabus,rationale
12summer17_q01,12summer17,12summer17,1,quadratics,quadratics,,quadratics,keep,True,The existing quadratics label matches the dominant mark-bearing topic.
12summer17_q02,12summer17,12summer17,2,binomial_expansion,series,,series,keep,True,The existing series label matches the dominant mark-bearing topic.
12summer17_q03,12summer17,12summer17,3,differentiation,differentiation,,differentiation,keep,True,The existing differentiation label matches the dominant mark-bearing topic.
12summer17_q04,12summer17,12summer17,4,circular_measure,circular_measure,,circular_measure,keep,True,The existing circular_measure label matches the dominant mark-bearing topic.
12summer17_q05,12summer17,12summer17,5,trigonometry,trigonometry,,trigonometry,keep,True,The existing trigonometry label matches the dominant mark-bearing topic.
12summer17_q06,12summer17,12summer17,6,trigonometry,,,,exclude_current_syllabus,False,"Legacy 3D vector/scalar-product content is outside the current P1 major-topic set, so it is excluded rather than forced into a current topic."
12summer17_q07,12summer17,12summer17,7,series_and_sequences,series,,series,keep,True,The existing series label matches the dominant mark-bearing topic.
12summer17_q08,12summer17,12summer17,8,functions,functions,quadratics,functions;quadratics,add_secondary_topic,True,The primary label remains functions; the mark scheme also contains substantial mark-bearing quadratics overlap.
12summer17_q09,12summer17,12summer17,9,differentiation,coordinate_geometry,quadratics,coordinate_geometry;quadratics,relabel_primary_add_secondary,True,"Review of the question and mark scheme shows coordinate_geometry is the dominant assessed topic, with substantial mark-bearing quadratics overlap."
12summer17_q10,12summer17,12summer17,10,functions,integration,differentiation,integration;differentiation,relabel_primary_add_secondary,True,"Review of the question and mark scheme shows integration is the dominant assessed topic, with substantial mark-bearing differentiation overlap."
12summer18_q01,12summer18,12summer18,1,binomial_expansion,series,,series,keep,True,The existing series label matches the dominant mark-bearing topic.
12summer18_q02,12summer18,12summer18,2,differentiation,quadratics,differentiation,quadratics;differentiation,relabel_primary_add_secondary,True,"Review of the question and mark scheme shows quadratics is the dominant assessed topic, with substantial mark-bearing differentiation overlap."
12summer18_q03,12summer18,12summer18,3,series_and_sequences,series,,series,keep,True,The existing series label matches the dominant mark-bearing topic.
12summer18_q04,12summer18,12summer18,4,functions,trigonometry,,trigonometry,relabel_primary,True,Review of the question and mark scheme shows trigonometry is the dominant assessed topic rather than the raw functions label.
12summer18_q05,12summer18,12summer18,5,trigonometry,,,,exclude_current_syllabus,False,"Legacy 3D vector/scalar-product content is outside the current P1 major-topic set, so it is excluded rather than forced into a current topic."
12summer18_q06,12summer18,12summer18,6,circular_measure,circular_measure,,circular_measure,keep,True,The existing circular_measure label matches the dominant mark-bearing topic.
12summer18_q07,12summer18,12summer18,7,functions,functions,quadratics,functions;quadratics,add_secondary_topic,True,The primary label remains functions; the mark scheme also contains substantial mark-bearing quadratics overlap.
12summer18_q08,12summer18,12summer18,8,coordinate_geometry,coordinate_geometry,,coordinate_geometry,keep,True,The existing coordinate_geometry label matches the dominant mark-bearing topic.
12summer18_q09,12summer18,12summer18,9,coordinate_geometry,differentiation,integration,differentiation;integration,relabel_primary_add_secondary,True,"Review of the question and mark scheme shows differentiation is the dominant assessed topic, with substantial mark-bearing integration overlap."
12summer18_q10,12summer18,12summer18,10,trigonometry,trigonometry,,trigonometry,keep,True,The existing trigonometry label matches the dominant mark-bearing topic.
12summer18_q11,12summer18,12summer18,11,integration,integration,differentiation,integration;differentiation,add_secondary_topic,True,Tangents to the curve and the volume of revolution are both mark-bearing; integration is primary because the volume calculation is a substantial final block.
12summer19_q01,12summer19,12summer19,1,binomial_expansion,series,,series,keep,True,The existing series label matches the dominant mark-bearing topic.
12summer19_q02,12summer19,12summer19,2,functions,integration,,integration,relabel_primary,True,Review of the question and mark scheme shows integration is the dominant assessed topic rather than the raw functions label.
12summer19_q03,12summer19,12summer19,3,coordinate_geometry,circular_measure,,circular_measure,relabel_primary,True,Review of the question and mark scheme shows circular_measure is the dominant assessed topic rather than the raw coordinate_geometry label.
12summer19_q04,12summer19,12summer19,4,differentiation,differentiation,,differentiation,keep,True,The existing differentiation label matches the dominant mark-bearing topic.
12summer19_q05,12summer19,12summer19,5,functions,,,,exclude_current_syllabus,False,"Legacy 3D vector/scalar-product content is outside the current P1 major-topic set, so it is excluded rather than forced into a current topic."
12summer19_q06,12summer19,12summer19,6,series_and_sequences,series,,series,keep,True,The existing series label matches the dominant mark-bearing topic.
12summer19_q07,12summer19,12summer19,7,trigonometry,trigonometry,quadratics,trigonometry;quadratics,add_secondary_topic,True,The primary label remains trigonometry; the mark scheme also contains substantial mark-bearing quadratics overlap.
12summer19_q08,12summer19,12summer19,8,functions,functions,quadratics,functions;quadratics,add_secondary_topic,True,The primary label remains functions; the mark scheme also contains substantial mark-bearing quadratics overlap.
12summer19_q09,12summer19,12summer19,9,differentiation,differentiation,integration,differentiation;integration,add_secondary_topic,True,The primary label remains differentiation; the mark scheme also contains substantial mark-bearing integration overlap.
12summer19_q10,12summer19,12summer19,10,differentiation,coordinate_geometry,differentiation;quadratics,coordinate_geometry;differentiation;quadratics,relabel_primary_add_secondary,True,"Review of the question and mark scheme shows coordinate_geometry is the dominant assessed topic, with substantial mark-bearing differentiation, quadratics overlap."
12summer20_q01,12summer20,12summer20,1,functions,differentiation,,differentiation,relabel_primary,True,Review of the question and mark scheme shows differentiation is the dominant assessed topic rather than the raw functions label.
12summer20_q02,12summer20,12summer20,2,functions,functions,,functions,keep,True,The existing functions label matches the dominant mark-bearing topic.
12summer20_q03,12summer20,12summer20,3,integration,integration,,integration,keep,True,The existing integration label matches the dominant mark-bearing topic.
12summer20_q04,12summer20,12summer20,4,coordinate_geometry,differentiation,,differentiation,relabel_primary,True,Review of the question and mark scheme shows differentiation is the dominant assessed topic rather than the raw coordinate_geometry label.
12summer20_q05,12summer20,12summer20,5,trigonometry,trigonometry,,trigonometry,keep,True,The existing trigonometry label matches the dominant mark-bearing topic.
12summer20_q06,12summer20,12summer20,6,binomial_expansion,series,,series,keep,True,The existing series label matches the dominant mark-bearing topic.
12summer20_q07,12summer20,12summer20,7,circular_measure,circular_measure,,circular_measure,keep,True,The existing circular_measure label matches the dominant mark-bearing topic.
