question_id,paper,paper_code,question_number,current_topic,primary_topic,secondary_topics,coverage_topics,status,current_syllabus,rationale
11winter19_q01,11winter19,11winter19,1,binomial_expansion,series,,series,keep,True,The existing series label matches the dominant mark-bearing topic.
11winter19_q02,11winter19,11winter19,2,functions,differentiation,quadratics,differentiation;quadratics,relabel_primary_add_secondary,True,"Review of the question and mark scheme shows differentiation is the dominant assessed topic, with substantial mark-bearing quadratics overlap."
11winter19_q03,11winter19,11winter19,3,differentiation,differentiation,,differentiation,keep,True,The existing differentiation label matches the dominant mark-bearing topic.
11winter19_q04,11winter19,11winter19,4,series_and_sequences,series,,series,keep,True,The existing series label matches the dominant mark-bearing topic.
11winter19_q05,11winter19,11winter19,5,trigonometry,trigonometry,,trigonometry,keep,True,The existing trigonometry label matches the dominant mark-bearing topic.
11winter19_q06,11winter19,11winter19,6,coordinate_geometry,coordinate_geometry,quadratics,coordinate_geometry;quadratics,add_secondary_topic,True,The primary label remains coordinate_geometry; the mark scheme also contains substantial mark-bearing quadratics overlap.
11winter19_q07,11winter19,11winter19,7,functions,functions,,functions,keep,True,The existing functions label matches the dominant mark-bearing topic.
11winter19_q08,11winter19,11winter19,8,circular_measure,circular_measure,,circular_measure,keep,True,The existing circular_measure label matches the dominant mark-bearing topic.
11winter19_q09,11winter19,11winter19,9,differentiation,differentiation,integration,differentiation;integration,add_secondary_topic,True,The primary label remains differentiation; the mark scheme also contains substantial mark-bearing integration overlap.
11winter19_q10,11winter19,11winter19,10,coordinate_geometry,,,,exclude_current_syllabus,False,"Legacy 3D vector/scalar-product content is outside the current P1 major-topic set, so it is excluded rather than forced into a current topic."
11winter19_q11,11winter19,11winter19,11,integration,integration,quadratics,integration;quadratics,add_secondary_topic,True,The primary label remains integration; the mark scheme also contains substantial mark-bearing quadratics overlap.
11winter20_q01,11winter20,11winter20,1,quadratics,quadratics,,quadratics,keep,True,The existing quadratics label matches the dominant mark-bearing topic.
11winter20_q02,11winter20,11winter20,2,coordinate_geometry,integration,,integration,relabel_primary,True,Review of the question and mark scheme shows integration is the dominant assessed topic rather than the raw coordinate_geometry label.
11winter20_q03,11winter20,11winter20,3,coordinate_geometry,differentiation,,differentiation,relabel_primary,True,Review of the question and mark scheme shows differentiation is the dominant assessed topic rather than the raw coordinate_geometry label.
11winter20_q04,11winter20,11winter20,4,functions,functions,trigonometry,functions;trigonometry,add_secondary_topic,True,The primary label remains functions; the mark scheme also contains substantial mark-bearing trigonometry overlap.
11winter20_q05,11winter20,11winter20,5,binomial_expansion,series,,series,keep,True,The existing series label matches the dominant mark-bearing topic.
11winter20_q06,11winter20,11winter20,6,coordinate_geometry,differentiation,,differentiation,relabel_primary,True,Review of the question and mark scheme shows differentiation is the dominant assessed topic rather than the raw coordinate_geometry label.
11winter20_q07,11winter20,11winter20,7,trigonometry,trigonometry,,trigonometry,keep,True,The existing trigonometry label matches the dominant mark-bearing topic.
11winter20_q08,11winter20,11winter20,8,series_and_sequences,series,,series,keep,True,The existing series label matches the dominant mark-bearing topic.
11winter20_q09,11winter20,11winter20,9,differentiation,coordinate_geometry,,coordinate_geometry,relabel_primary,True,Review of the question and mark scheme shows coordinate_geometry is the dominant assessed topic rather than the raw differentiation label.
11winter20_q10,11winter20,11winter20,10,circular_measure,circular_measure,,circular_measure,keep,True,The existing circular_measure label matches the dominant mark-bearing topic.
11winter20_q11,11winter20,11winter20,11,functions,functions,quadratics,functions;quadratics,add_secondary_topic,True,The primary label remains functions; the mark scheme also contains substantial mark-bearing quadratics overlap.
