question_id,paper,paper_code,question_number,current_topic,primary_topic,secondary_topics,coverage_topics,status,current_syllabus,rationale
12summer24_q01,12summer24,12summer24,1,binomial_expansion,series,,series,keep,True,The existing series label matches the dominant mark-bearing topic.
12summer24_q02,12summer24,12summer24,2,functions,functions,,functions,keep,True,The existing functions label matches the dominant mark-bearing topic.
12summer24_q03,12summer24,12summer24,3,trigonometry,trigonometry,quadratics,trigonometry;quadratics,add_secondary_topic,True,The primary label remains trigonometry; the mark scheme also contains substantial mark-bearing quadratics overlap.
12summer24_q04,12summer24,12summer24,4,functions,functions,quadratics,functions;quadratics,add_secondary_topic,True,The primary label remains functions; the mark scheme also contains substantial mark-bearing quadratics overlap.
12summer24_q05,12summer24,12summer24,5,series_and_sequences,series,,series,keep,True,The existing series label matches the dominant mark-bearing topic.
12summer24_q06,12summer24,12summer24,6,integration,integration,,integration,keep,True,The existing integration label matches the dominant mark-bearing topic.
12summer24_q07,12summer24,12summer24,7,differentiation,coordinate_geometry,quadratics,coordinate_geometry;quadratics,relabel_primary_add_secondary,True,"Review of the question and mark scheme shows coordinate_geometry is the dominant assessed topic, with substantial mark-bearing quadratics overlap."
12summer24_q08,12summer24,12summer24,8,circular_measure,circular_measure,,circular_measure,keep,True,The existing circular_measure label matches the dominant mark-bearing topic.
12summer24_q09,12summer24,12summer24,9,functions,differentiation,integration,differentiation;integration,relabel_primary_add_secondary,True,"Review of the question and mark scheme shows differentiation is the dominant assessed topic, with substantial mark-bearing integration overlap."
12summer24_q10,12summer24,12summer24,10,coordinate_geometry,coordinate_geometry,differentiation,coordinate_geometry;differentiation,add_secondary_topic,True,The primary label remains coordinate_geometry; the mark scheme also contains substantial mark-bearing differentiation overlap.
12summer25_q01,12summer25,12summer25,1,functions,functions,,functions,keep,True,The existing functions label matches the dominant mark-bearing topic.
12summer25_q02,12summer25,12summer25,2,functions,coordinate_geometry,quadratics,coordinate_geometry;quadratics,relabel_primary_add_secondary,True,"Line-curve intersection coordinates are found by eliminating to a quadratic; coordinate geometry is primary, with quadratics as substantial method coverage."
12summer25_q03,12summer25,12summer25,3,binomial_expansion,series,,series,keep,True,The existing series label matches the dominant mark-bearing topic.
12summer25_q04,12summer25,12summer25,4,differentiation,differentiation,,differentiation,keep,True,The existing differentiation label matches the dominant mark-bearing topic.
