question_id,paper,paper_code,question_number,current_topic,primary_topic,secondary_topics,coverage_topics,status,current_syllabus,rationale
11summer24_q01,11summer24,11summer24,1,algebra,quadratics,,quadratics,relabel_primary,True,Completing the square and solving a quartic as a quadratic in x^2 dominate; the raw algebra label should count as P1 quadratics.
11summer24_q02,11summer24,11summer24,2,functions,functions,trigonometry,functions;trigonometry,add_secondary_topic,True,"Graph transformations are primary, with the transformed sine curve giving substantial trigonometric graph coverage."
11summer24_q03,11summer24,11summer24,3,binomial_expansion,series,,series,keep,True,Binomial expansion coefficient work dominates.
11summer24_q04,11summer24,11summer24,4,coordinate_geometry,differentiation,,differentiation,relabel_primary,True,"Chord gradients are used to estimate f prime; the assessed idea is numerical differentiation, not coordinate geometry."
11summer24_q05,11summer24,11summer24,5,trigonometry,trigonometry,,trigonometry,keep,True,Identity proof and trigonometric equation solving dominate.
11summer24_q06,11summer24,11summer24,6,functions,functions,,functions,keep,True,"Inverse-function graph, expression, domain/range reasoning, and equation solving dominate."
11summer24_q07,11summer24,11summer24,7,circular_measure,circular_measure,,circular_measure,keep,True,"Radian angle, arc length, sector area, perimeter, and area of a circular shape dominate."
11summer24_q08,11summer24,11summer24,8,series_and_sequences,series,quadratics,series;quadratics,add_secondary_topic,True,"Progression structure is primary, with a substantial quadratic equation in q used to determine the geometric progression."
11summer24_q09,11summer24,11summer24,9,integration,integration,,integration,keep,True,Volume of revolution by integrating y squared dominates.
11summer24_q10,11summer24,11summer24,10,differentiation,coordinate_geometry,quadratics,coordinate_geometry;quadratics,relabel_primary_add_secondary,True,"Circle tangent geometry and tangent-point coordinates are primary, with a discriminant equation in the gradient as substantial quadratic coverage."
11summer24_q11,11summer24,11summer24,11,differentiation,differentiation,,differentiation,keep,True,"Derivative sign, normal/tangent equations, and curve-gradient work dominate."
11winter09_q01,11winter09,11winter09,1,trigonometry,trigonometry,,trigonometry,keep,True,Trigonometric equation solving dominates.
11winter09_q02,11winter09,11winter09,2,trigonometry,trigonometry,,trigonometry,keep,True,Sketching a cosine curve dominates; the line is supporting comparison context.
11winter09_q03,11winter09,11winter09,3,binomial_expansion,series,,series,keep,True,Binomial expansion and coefficient comparison dominate.
11winter09_q04,11winter09,11winter09,4,differentiation,differentiation,integration,differentiation;integration,add_secondary_topic,True,"Stationary point and nature are primary, with area under the curve as substantial integration coverage."
11winter09_q05,11winter09,11winter09,5,circular_measure,circular_measure,,circular_measure,keep,True,"Arc length, sector area, and circular-region area dominate."
11winter09_q06,11winter09,11winter09,6,differentiation,differentiation,integration,differentiation;integration,add_secondary_topic,True,"Perpendicular tangents and gradient conditions are primary, with integrating dy/dx to recover the curve as substantial secondary coverage."
11winter09_q07,11winter09,11winter09,7,differentiation,differentiation,coordinate_geometry,differentiation;coordinate_geometry,add_secondary_topic,True,"Derivative/normal/rate work is primary, with a normal-line equation providing substantial coordinate-geometry coverage."
11winter09_q08,11winter09,11winter09,8,series_and_sequences,series,quadratics,series;quadratics,add_secondary_topic,True,"Arithmetic/geometric progression structure is primary, with a substantial quadratic equation in the common ratio."
11winter09_q09,11winter09,11winter09,9,trigonometry,,,,exclude_current_syllabus,False,"Legacy 3D vector and scalar-product content is outside the current P1 major-topic set, so it should not be counted as trigonometry."
11winter09_q10,11winter09,11winter09,10,quadratics,functions,quadratics,functions;quadratics,relabel_primary_add_secondary,True,"Composition, inverse functions, inverse graphs, and function-domain restrictions are primary; the solved equations/discriminant give substantial quadratics coverage."
11winter10_q01,11winter10,11winter10,1,integration,integration,,integration,keep,True,Indefinite integration dominates.
11winter10_q02,11winter10,11winter10,2,binomial_expansion,series,,series,keep,True,Binomial expansion coefficient extraction dominates.
11winter10_q03,11winter10,11winter10,3,functions,functions,quadratics,functions;quadratics,add_secondary_topic,True,"Function composition is primary, with completing-square form as substantial quadratic coverage."
11winter10_q04,11winter10,11winter10,4,trigonometry,trigonometry,,trigonometry,keep,True,Identity proof and trigonometric equation solving dominate.
11winter10_q05,11winter10,11winter10,5,trigonometry,,,,exclude_current_syllabus,False,"Legacy 3D vector scalar-product content is outside the current P1 major-topic set, so it should not be counted as trigonometry."
11winter10_q06,11winter10,11winter10,6,series_and_sequences,series,,series,keep,True,Arithmetic and geometric progression sums dominate.
11winter10_q07,11winter10,11winter10,7,functions,functions,trigonometry,functions;trigonometry,add_secondary_topic,True,"Range, graph, and inverse-function work are primary, with tangent-function graph/inverse trig content as substantial secondary coverage."
11winter10_q08,11winter10,11winter10,8,differentiation,differentiation,circular_measure,differentiation;circular_measure,add_secondary_topic,True,"Optimization by differentiation is primary, with quarter-circle perimeter/area formulae as substantial circular-measure setup."
11winter10_q09,11winter10,11winter10,9,circular_measure,circular_measure,,circular_measure,keep,True,"Tangent circles, radian angle, sectors, and shaded-area calculation dominate."
11winter10_q10,11winter10,11winter10,10,differentiation,differentiation,coordinate_geometry;quadratics,differentiation;coordinate_geometry;quadratics,add_secondary_topic,True,"Normal to a curve is primary, with axis intercepts/midpoint as coordinate geometry and the second intersection found from a quadratic."
11winter10_q11,11winter10,11winter10,11,quadratics,integration,differentiation;quadratics,integration;differentiation;quadratics,relabel_primary_add_secondary,True,Volume of revolution by integration is the largest single block; derivative/no-stationary reasoning and discriminant conditions are substantial secondary topics.
11winter11_q01,11winter11,11winter11,1,binomial_expansion,series,,series,keep,True,Binomial expansion term extraction dominates.
