question_id,paper,paper_code,question_number,current_topic,primary_topic,secondary_topics,coverage_topics,status,current_syllabus,rationale
11winter13_q01,11winter13,11winter13,1,binomial_expansion,series,,series,keep,True,The existing series label matches the dominant mark-bearing topic.
11winter13_q02,11winter13,11winter13,2,functions,integration,,integration,relabel_primary,True,Review of the question and mark scheme shows integration is the dominant assessed topic rather than the raw functions label.
11winter13_q03,11winter13,11winter13,3,coordinate_geometry,,,,exclude_current_syllabus,False,"Legacy 3D vector/scalar-product content is outside the current P1 major-topic set, so it is excluded rather than forced into a current topic."
11winter13_q04,11winter13,11winter13,4,trigonometry,trigonometry,quadratics,trigonometry;quadratics,add_secondary_topic,True,The primary label remains trigonometry; the mark scheme also contains substantial mark-bearing quadratics overlap.
11winter13_q05,11winter13,11winter13,5,functions,functions,quadratics,functions;quadratics,add_secondary_topic,True,The primary label remains functions; the mark scheme also contains substantial mark-bearing quadratics overlap.
11winter13_q06,11winter13,11winter13,6,circular_measure,circular_measure,,circular_measure,keep,True,The existing circular_measure label matches the dominant mark-bearing topic.
11winter13_q07,11winter13,11winter13,7,coordinate_geometry,coordinate_geometry,quadratics,coordinate_geometry;quadratics,add_secondary_topic,True,The primary label remains coordinate_geometry; the mark scheme also contains substantial mark-bearing quadratics overlap.
11winter13_q08,11winter13,11winter13,8,differentiation,differentiation,,differentiation,keep,True,The existing differentiation label matches the dominant mark-bearing topic.
11winter13_q09,11winter13,11winter13,9,series_and_sequences,series,,series,keep,True,The existing series label matches the dominant mark-bearing topic.
11winter13_q10,11winter13,11winter13,10,differentiation,differentiation,integration,differentiation;integration,add_secondary_topic,True,The primary label remains differentiation; the mark scheme also contains substantial mark-bearing integration overlap.
11winter15_q01,11winter15,11winter15,1,binomial_expansion,series,,series,keep,True,The existing series label matches the dominant mark-bearing topic.
11winter15_q02,11winter15,11winter15,2,functions,integration,,integration,relabel_primary,True,Review of the question and mark scheme shows integration is the dominant assessed topic rather than the raw functions label.
