paper,question_number,question_id,current_topic,proposed_primary_topic,proposed_secondary_topics,coverage_topics,status,rationale
03summer08,1,03summer08_q01,differentiation,algebra,,algebra,relabel_primary,Modulus inequality solved by squaring/linear cases; no calculus is assessed.
03summer08,2,03summer08_q02,logarithmic_and_exponential_functions,logarithmic_and_exponential_functions,,logarithmic_and_exponential_functions,keep,Exponential equation solved via substitution/quadratic and logarithm.
03summer08,3,03summer08_q03,numerical_solution_of_equations,numerical_solution_of_equations,trigonometry,"numerical_solution_of_equations,trigonometry",add_secondary_topic,Main assessment is fixed-point iteration; setup uses trig/radian geometry to form the equation.
03summer08,4,03summer08_q04,trigonometry,trigonometry,,trigonometry,keep,Tangent addition formulae and trigonometric equation.
03summer08,5,03summer08_q05,complex_numbers,complex_numbers,,complex_numbers,keep,Argand locus and complex-number algebra.
03summer08,6,03summer08_q06,differentiation,differentiation,,differentiation,keep,Implicit differentiation and horizontal tangent.
03summer08,7,03summer08_q07,algebra,algebra,integration,"algebra,integration",add_secondary_topic,"Partial fractions are assessed, then a definite integral is evaluated from them."
03summer08,8,03summer08_q08,differential_equations,differential_equations,,differential_equations,keep,Separable differential equation from a geometric condition.
03summer08,9,03summer08_q09,differentiation,integration,differentiation,"integration,differentiation",relabel_primary_add_secondary,"Part (i) is differentiation, but part (ii) is a 6-mark volume-of-revolution integration task, so integration is the stronger primary."
03summer08,10,03summer08_q10,vectors,vectors,,vectors,keep,Vector lines/intersection/angle geometry.
03summer09,1,03summer09_q01,logarithmic_and_exponential_functions,logarithmic_and_exponential_functions,,logarithmic_and_exponential_functions,keep,Logarithmic equation solved with exponentials.
03summer09,2,03summer09_q02,differentiation,exclude_current_syllabus,,,exclude_current_syllabus,Trapezium-rule numerical integration is no longer current-syllabus P3 content; current differentiation label is wrong.
03summer09,3,03summer09_q03,trigonometry,trigonometry,,trigonometry,keep,Trigonometric identity and equation.
03summer09,4,03summer09_q04,numerical_solution_of_equations,numerical_solution_of_equations,,numerical_solution_of_equations,keep,"Root location, fixed-point formula, and iteration."
03summer09,5,03summer09_q05,algebra,algebra,,algebra,keep,Binomial expansion with algebraic coefficient condition.
03summer09,6,03summer09_q06,differentiation,differentiation,,differentiation,keep_with_split_needed,The Q6 portion is parametric differentiation and tangent geometry; crop also includes Q7 and must be split.
03summer09,7,03summer09_q07,,complex_numbers,,complex_numbers,restore_split_question,"Q7 is visible inside the Q6 question crop but missing as its own extracted question; it assesses complex roots, Argand diagram, modulus/argument."
03summer09,8,03summer09_q08,algebra,differential_equations,"algebra,integration","differential_equations,algebra,integration",relabel_primary_add_secondary,"Part (i) partial fractions support part (ii), but the main task is solving a separable differential equation; integration is also explicitly assessed."
03summer09,9,03summer09_q09,vectors,vectors,,vectors,keep,Line/plane vector geometry and perpendicular distance.
03summer09,10,03summer09_q10,differentiation,integration,differentiation,"integration,differentiation",relabel_primary_add_secondary,"Part (i) differentiates to find a maximum; parts (ii)-(iii) are area by substitution and exact integration, so integration is the stronger primary."
03winter08,1,03winter08_q01,logarithmic_and_exponential_functions,logarithmic_and_exponential_functions,,logarithmic_and_exponential_functions,keep,Logarithmic equation using log laws.
03winter08,2,03winter08_q02,algebra,algebra,,algebra,keep,Binomial expansion.
03winter08,3,03winter08_q03,differentiation,differentiation,,differentiation,keep,Differentiate and solve stationary-point condition.
03winter08,4,03winter08_q04,differentiation,differentiation,trigonometry,"differentiation,trigonometry",add_secondary_topic,Parametric differentiation is primary; final simplification uses trig identities.
03winter08,5,03winter08_q05,algebra,algebra,,algebra,keep,Polynomial divisibility/factorisation and inequality.
03winter08,6,03winter08_q06,logarithmic_and_exponential_functions,trigonometry,,trigonometry,relabel_primary,R sin(x+alpha) form and trig equation; no log/exponential assessment.
03winter08,7,03winter08_q07,vectors,vectors,,vectors,keep,Plane angle and line of intersection using vectors.
03winter08,8,03winter08_q08,differential_equations,differential_equations,,differential_equations,keep,Rate model leading to separable differential equation.
03winter08,9,03winter08_q09,numerical_solution_of_equations,numerical_solution_of_equations,integration,"numerical_solution_of_equations,integration",add_secondary_topic,"Numerical root work is the main arc, but part (i) is a 5-mark integration-by-parts derivation of the equation."
03winter08,10,03winter08_q10,complex_numbers,complex_numbers,,complex_numbers,keep,Complex modulus/argument and Argand geometry.
31summer10,1,31summer10_q01,differentiation,algebra,,algebra,relabel_primary,Modulus inequality with parameter; no calculus is assessed.
31summer10,2,31summer10_q02,trigonometry,trigonometry,,trigonometry,keep,Trig equation using cos 2A.
31summer10,3,31summer10_q03,logarithmic_and_exponential_functions,logarithmic_and_exponential_functions,,logarithmic_and_exponential_functions,keep,Log-linearisation of power-law relationship.
31summer10,4,31summer10_q04,trigonometry,trigonometry,integration,"trigonometry,integration",add_secondary_topic,Trig identity is primary; part (ii) asks for a definite trigonometric integral.
31summer10,5,31summer10_q05,differential_equations,differential_equations,,differential_equations,keep,Separable differential equation.
31summer10,6,31summer10_q06,numerical_solution_of_equations,numerical_solution_of_equations,trigonometry,"numerical_solution_of_equations,trigonometry",add_secondary_topic,Iteration/root finding is primary; setup uses segment geometry and sine.
31summer10,7,31summer10_q07,complex_numbers,complex_numbers,,complex_numbers,keep,Complex number and Argand region.
31summer10,8,31summer10_q08,algebra,integration,algebra,"integration,algebra",relabel_primary_add_secondary,Partial fractions support a 5-mark definite integral; integration is the stronger primary.
31summer10,9,31summer10_q09,differentiation,differentiation,,differentiation,keep,Differentiate to obtain normal gradient and optimise it.
31summer10,10,31summer10_q10,vectors,vectors,,vectors,keep,"Vector lines, angle, and plane."
31summer11,1,31summer11_q01,algebra,algebra,,algebra,keep,Binomial expansion.
31summer11,2,31summer11_q02,logarithmic_and_exponential_functions,differentiation,,differentiation,relabel_primary,"Prompt is explicitly find dy/dx; ln and tan are function inputs, but the assessed skill is differentiation."
31summer11,3,31summer11_q03,vectors,vectors,,vectors,keep,Plane equation and angle with axis using vectors.
31summer11,4,31summer11_q04,algebra,algebra,logarithmic_and_exponential_functions,"algebra,logarithmic_and_exponential_functions",add_secondary_topic,Polynomial factorisation is primary; part (ii) solves an exponential equation via 3^y and logs.
31summer11,5,31summer11_q05,logarithmic_and_exponential_functions,differentiation,logarithmic_and_exponential_functions,"differentiation,logarithmic_and_exponential_functions",relabel_primary_add_secondary,Implicit differentiation supplies most of the method; exponential/log values are substantial context.
