question_id,paper,paper_code,question_number,current_topic,primary_topic,secondary_topics,coverage_topics,status,current_syllabus,rationale
12summer12_q01,12summer12,12summer12,1,integration,integration,,integration,keep,True,The existing integration label matches the dominant mark-bearing topic.
12summer12_q02,12summer12,12summer12,2,coordinate_geometry,differentiation,,differentiation,relabel_primary,True,Review of the question and mark scheme shows differentiation is the dominant assessed topic rather than the raw coordinate_geometry label.
12summer12_q03,12summer12,12summer12,3,binomial_expansion,series,,series,keep,True,The existing series label matches the dominant mark-bearing topic.
12summer12_q04,12summer12,12summer12,4,coordinate_geometry,coordinate_geometry,,coordinate_geometry,keep,True,The existing coordinate_geometry label matches the dominant mark-bearing topic.
12summer12_q05,12summer12,12summer12,5,trigonometry,trigonometry,quadratics,trigonometry;quadratics,add_secondary_topic,True,The primary label remains trigonometry; the mark scheme also contains substantial mark-bearing quadratics overlap.
12summer12_q06,12summer12,12summer12,6,circular_measure,circular_measure,,circular_measure,keep,True,The existing circular_measure label matches the dominant mark-bearing topic.
12summer12_q07,12summer12,12summer12,7,series_and_sequences,series,quadratics,series;quadratics,add_secondary_topic,True,The primary label remains series; the mark scheme also contains substantial mark-bearing quadratics overlap.
12summer12_q08,12summer12,12summer12,8,circular_measure,,,,exclude_current_syllabus,False,"Legacy 3D vector/scalar-product content is outside the current P1 major-topic set, so it is excluded rather than forced into a current topic."
12summer12_q09,12summer12,12summer12,9,coordinate_geometry,differentiation,integration,differentiation;integration,relabel_primary_add_secondary,True,"Review of the question and mark scheme shows differentiation is the dominant assessed topic, with substantial mark-bearing integration overlap."
12summer12_q10,12summer12,12summer12,10,functions,functions,quadratics,functions;quadratics,add_secondary_topic,True,The primary label remains functions; the mark scheme also contains substantial mark-bearing quadratics overlap.
12summer13_q01,12summer13,12summer13,1,integration,integration,,integration,keep,True,The existing integration label matches the dominant mark-bearing topic.
12summer13_q02,12summer13,12summer13,2,binomial_expansion,series,,series,keep,True,The existing series label matches the dominant mark-bearing topic.
