question_id,paper,paper_code,question_number,current_topic,primary_topic,secondary_topics,coverage_topics,status,current_syllabus,rationale
11summer18_q01,11summer18,11summer18,1,binomial_expansion,series,,series,keep,True,Binomial expansion and coefficient comparison dominate.
11summer18_q02,11summer18,11summer18,2,differentiation,differentiation,,differentiation,keep,True,Related rate from dy/dx and dx/dt is differentiation-led.
11summer18_q03,11summer18,11summer18,3,integration,integration,,integration,keep,True,Curve recovery from dy/dx and x-axis intersection after integration dominate.
11summer18_q04,11summer18,11summer18,4,trigonometry,trigonometry,,trigonometry,keep,True,Identity proof and trigonometric equation solving dominate.
11summer18_q05,11summer18,11summer18,5,coordinate_geometry,coordinate_geometry,,coordinate_geometry,keep,True,"Straight-line equations, perpendicular gradients, and coordinate intersection work dominate."
11summer18_q06,11summer18,11summer18,6,coordinate_geometry,circular_measure,,circular_measure,relabel_primary,True,"The tangent/sector setup is circular measure; area, arc length, and perimeter formulae dominate rather than coordinate geometry."
11summer18_q07,11summer18,11summer18,7,circular_measure,,,,exclude_current_syllabus,False,"Legacy 3D vector and scalar-product content is outside the current P1 major-topic set, so it should not be counted as circular measure."
11summer18_q08,11summer18,11summer18,8,series_and_sequences,series,,series,keep,True,Geometric progression and arithmetic progression sums dominate.
11summer18_q09,11summer18,11summer18,9,functions,functions,quadratics,functions;quadratics,add_secondary_topic,True,"Function intersection, inequality, composition/range, and inverse-domain work are primary, with substantial quadratic solving and completing-square coverage."
11summer18_q10,11summer18,11summer18,10,differentiation,differentiation,quadratics;integration,differentiation;quadratics;integration,add_secondary_topic,True,Derivative and stationary-gradient work are primary; the no-stationary-points discriminant and final area integral are substantial secondary topics.
11summer19_q01,11summer19,11summer19,1,binomial_expansion,series,,series,keep,True,Binomial expansion term extraction dominates.
11summer19_q02,11summer19,11summer19,2,differentiation,quadratics,,quadratics,relabel_primary,True,Tangency is assessed through forming a quadratic and using the discriminant; differentiation is only an alternative method.
