paper,question_number,question_id,current_topic,proposed_primary_topic,proposed_secondary_topics,coverage_topics,status,rationale
01summer08,1,01summer08_q01,algebra,trigonometry,,trigonometry,relabel_primary,Sine-rule triangle problem using exact trigonometric values; the source algebra label is not the assessed topic.
01summer08,2,01summer08_q02,trigonometry,trigonometry,,trigonometry,keep,Trigonometric identity and equation in cos theta.
01summer08,3,01summer08_q03,series,series,,series,keep,Binomial expansion and coefficient extraction.
01summer08,4,01summer08_q04,differentiation,quadratics,differentiation,"quadratics,differentiation",relabel_primary_add_secondary,"Line-curve intersection is a 4-mark quadratic solve, followed by a 3-mark stationary-point differentiation check."
01summer08,5,01summer08_q05,differentiation,circular_measure,,circular_measure,relabel_primary,"Arc length, sector area, and tangent-circle geometry; no calculus is assessed."
01summer08,6,01summer08_q06,functions,functions,differentiation,"functions,differentiation",add_secondary_topic,"Inverse/domain work is dominant, with a mark-bearing derivative used to prove the function is increasing."
01summer08,7,01summer08_q07,series,series,,series,keep,"Geometric progression, sum to infinity, and arithmetic progression."
01summer08,8,01summer08_q08,quadratics,quadratics,functions,"quadratics,functions",add_secondary_topic,Composite-function equation is assessed through discriminant/equal-roots work; the functions context is substantial.
01summer08,9,01summer08_q09,integration,integration,,integration,keep,Reverse differentiation and area by integration.
01summer08,10,01summer08_q10,functions,exclude_current_syllabus,,,exclude_current_syllabus,"3D vectors and scalar product are not current P1 packet topics, so this should not be counted as functions coverage."
01summer08,11,01summer08_q11,coordinate_geometry,coordinate_geometry,,coordinate_geometry,keep,"Straight-line gradients, perpendicularity, reflection, and coordinate distance."
01summer09,1,01summer09_q01,trigonometry,trigonometry,,trigonometry,keep,Trigonometric identity proof.
01summer09,2,01summer09_q02,trigonometry,quadratics,,quadratics,relabel_primary,The assessment is forming a quadratic from a line-curve intersection and using the discriminant for two distinct roots.
01summer09,3,01summer09_q03,series,series,,series,keep,Binomial expansion and coefficient condition.
01summer09,4,01summer09_q04,trigonometry,trigonometry,,trigonometry,keep,Sine-graph parameters and trigonometric equation in radians.
01summer09,5,01summer09_q05,circular_measure,circular_measure,,circular_measure,keep,Arc/sector perimeter and area in radians.
01summer09,6,01summer09_q06,functions,exclude_current_syllabus,,,exclude_current_syllabus,"3D vectors and scalar product are not current P1 packet topics, so this should not be counted as functions coverage."
01summer09,7,01summer09_q07,series,series,,series,keep,Geometric and arithmetic progression sums.
01summer09,8,01summer09_q08,coordinate_geometry,coordinate_geometry,,coordinate_geometry,keep,Straight-line perpendicularity and coordinate construction.
01summer09,9,01summer09_q09,differentiation,integration,differentiation,"integration,differentiation",relabel_primary_add_secondary,The volume of revolution is the larger task; differentiating the curve for the gradient is a substantial preliminary part.
01summer09,10,01summer09_q10,functions,functions,quadratics,"functions,quadratics",add_secondary_topic,Function inverse/range work is primary; completing the square and quadratic range reasoning are substantial.
01summer09,11,01summer09_q11,differentiation,differentiation,integration,"differentiation,integration",add_secondary_topic,"Stationary points and normal are differentiation-led, with a substantial exact area integral."
01winter08,1,01winter08_q01,series,series,,series,keep,Binomial coefficient extraction.
01winter08,2,01winter08_q02,trigonometry,trigonometry,,trigonometry,keep,Trigonometric identity proof.
