paper,question_number,question_id,current_topic,proposed_primary_topic,proposed_secondary_topics,coverage_topics,status,rationale
33winter17,4,33winter17_q04,differentiation,trigonometry,,trigonometry,relabel_primary,"The tangent addition identity and secant graph are trigonometry, not differentiation."
33winter17,6,33winter17_q06,differentiation,differential_equations,trigonometry,"differential_equations,trigonometry",relabel_primary_add_secondary,The prompt asks to solve a differential equation involving trigonometric functions.
33winter17,8,33winter17_q08,logarithmic_and_exponential_functions,integration,"algebra,logarithmic_and_exponential_functions","integration,algebra,logarithmic_and_exponential_functions",relabel_primary_add_secondary,Partial fractions support an exact definite integral whose result is logarithmic; integration is primary.
33winter17,9,33winter17_q09,differentiation,differentiation,integration,"differentiation,integration",add_secondary_topic,"Stationary-point differentiation is primary, with an exact area integral also assessed."
33winter17,10,33winter17_q10,vectors,vectors,,vectors,keep,"The question is about lines, angles and a plane in three-dimensional vector geometry."
33winter18,1,33winter18_q01,differentiation,algebra,,algebra,relabel_primary,This is a modulus inequality; no calculus is assessed.
33winter18,2,33winter18_q02,algebra,logarithmic_and_exponential_functions,,logarithmic_and_exponential_functions,relabel_primary,"This is an exponential equation solved using logarithms, not general algebra."
33winter18,5,33winter18_q05,logarithmic_and_exponential_functions,differential_equations,logarithmic_and_exponential_functions,"differential_equations,logarithmic_and_exponential_functions",relabel_primary_add_secondary,The prompt asks to solve a differential equation; logarithms/exponentials appear in the solution form.
33winter18,6,33winter18_q06,differentiation,trigonometry,,trigonometry,relabel_primary,R-form manipulation and trigonometric equation solving are the assessed topic.
33winter18,7,33winter18_q07,differentiation,differentiation,"integration,trigonometry","differentiation,integration,trigonometry",add_secondary_topic,"Maximum-point differentiation is primary, with a trigonometric area integral also assessed."
33winter18,9,33winter18_q09,algebra,integration,"algebra,logarithmic_and_exponential_functions","integration,algebra,logarithmic_and_exponential_functions",relabel_primary_add_secondary,Partial fractions support an exact definite integral whose answer is logarithmic; integration is primary.
33winter19,1,33winter19_q01,differentiation,algebra,,algebra,relabel_primary,This is a modulus inequality; no calculus is assessed.
33winter19,3,33winter19_q03,algebra,logarithmic_and_exponential_functions,,logarithmic_and_exponential_functions,relabel_primary,"This is an exponential equation solved using logarithms, not general algebra."
33winter19,5,33winter19_q05,numerical_solution_of_equations,numerical_solution_of_equations,logarithmic_and_exponential_functions,"numerical_solution_of_equations,logarithmic_and_exponential_functions",add_secondary_topic,"Iteration is primary, with logarithmic and exponential curves/equations defining the root."
33winter19,8,33winter19_q08,differentiation,differentiation,trigonometry,"differentiation,trigonometry",add_secondary_topic,The retained current-syllabus part is differentiation of sec x; the trapezium-rule estimate is legacy and is not counted as integration coverage.
33winter19,9,33winter19_q09,algebra,differential_equations,"algebra,logarithmic_and_exponential_functions","differential_equations,algebra,logarithmic_and_exponential_functions",relabel_primary_add_secondary,The problem is a differential equation solved using partial fractions and logarithms.
33winter19,10,33winter19_q10,differentiation,integration,"differentiation,trigonometry","integration,differentiation,trigonometry",relabel_primary_add_secondary,"The exact area integral is primary, after maximum-point differentiation of a trigonometric/exponential curve."
33winter20,1,33winter20_q01,differentiation,algebra,,algebra,relabel_primary,This is a modulus inequality; no calculus is assessed.
33winter20,3,33winter20_q03,differentiation,differentiation,trigonometry,"differentiation,trigonometry",add_secondary_topic,"Parametric differentiation is primary, with trigonometric identities used to obtain the derivative."
33winter20,5,33winter20_q05,numerical_solution_of_equations,numerical_solution_of_equations,trigonometry,"numerical_solution_of_equations,trigonometry",add_secondary_topic,"Iteration is primary, with a cosecant equation as substantial trigonometric context."
33winter20,7,33winter20_q07,logarithmic_and_exponential_functions,complex_numbers,,complex_numbers,relabel_primary,"The problem asks for complex roots of a polynomial, not differentiation."
33winter20,8,33winter20_q08,differentiation,differential_equations,logarithmic_and_exponential_functions,"differential_equations,logarithmic_and_exponential_functions",relabel_primary_add_secondary,The prompt asks to solve a differential equation; logarithmic/exponential form appears in the solution.
33winter20,10,33winter20_q10,differentiation,integration,"differentiation,logarithmic_and_exponential_functions","integration,differentiation,logarithmic_and_exponential_functions",relabel_primary_add_secondary,"The area calculation is integration primary, after differentiating an exponential curve to find its minimum."
33winter21,3,33winter21_q03,algebra,logarithmic_and_exponential_functions,,logarithmic_and_exponential_functions,relabel_primary,This is an exponential equation solved using logarithms.
33winter21,7,33winter21_q07,logarithmic_and_exponential_functions,differentiation,logarithmic_and_exponential_functions,"differentiation,logarithmic_and_exponential_functions",relabel_primary_add_secondary,Implicit differentiation is primary; logarithms define the curve.
33winter21,9,33winter21_q09,logarithmic_and_exponential_functions,integration,"differentiation,logarithmic_and_exponential_functions","integration,differentiation,logarithmic_and_exponential_functions",relabel_primary_add_secondary,"The exact integral is primary, after a stationary-point differentiation part on the same function."
33winter21,10,33winter21_q10,numerical_solution_of_equations,differential_equations,numerical_solution_of_equations,"differential_equations,numerical_solution_of_equations",relabel_primary_add_secondary,"The model is set up and solved as a differential equation, with iteration used later to solve the resulting equation."
